age,annual_income,loan_amount,credit_score,employment_years,existing_loans,debt_to_income_ratio,loan_term_months,default
59,42452,15181,687,0,3,0.6,48,0
49,52319,8607,567,1,1,0.34,24,0
35,55795,11005,535,6,1,0.53,36,0
63,63815,21989,707,4,0,0.35,36,0
28,11492,45674,727,2,0,0.27,12,1
41,58879,21068,643,1,2,0.35,24,0
59,40156,22373,592,30,2,0.42,48,1
39,34459,11978,707,7,2,0.24,60,0
43,72920,7829,588,8,1,0.08,12,0
31,102069,10986,637,0,1,0.01,48,1
31,69182,12903,757,0,2,0.36,48,1
44,37824,6660,680,6,0,0.4,48,0
56,28623,21787,646,1,1,0.32,36,1
60,10903,33245,627,2,2,0.2,36,1
44,53704,14377,653,1,2,0.27,36,0
23,65480,25602,671,0,1,0.36,36,1
42,46586,27585,559,0,6,0.4,60,1
22,78188,7181,746,4,3,0.34,24,0
44,25334,4709,613,6,2,0.25,60,1
64,44998,9902,633,0,0,0.55,24,0
50,43254,14150,715,1,2,0.22,48,0
58,46394,6517,638,5,1,0.2,48,0
22,87900,31361,720,2,1,0.3,48,0
41,46517,43014,646,6,1,0.53,48,0
53,42302,14876,657,7,2,0.45,12,0
32,30688,7412,667,0,2,0.34,48,0
42,95252,17886,679,2,4,0.19,60,0
64,23966,7398,694,6,1,0.22,36,0
45,37179,26525,734,2,2,0.31,36,0
47,114344,11627,729,0,3,0.29,24,1
62,61952,20668,586,2,1,0.28,36,0
48,48528,22951,766,10,1,0.56,36,1
36,49555,18449,513,15,1,0.81,24,0
35,30540,38994,599,4,0,0.24,36,1
64,47369,14867,638,1,0,0.45,36,1
23,41153,9878,556,3,2,0.49,48,1
57,53627,3784,672,1,1,0.27,36,0
27,23083,3393,709,0,0,0.23,36,0
41,59809,19756,592,3,1,0.21,24,0
29,81496,11964,687,6,0,0.43,36,1
59,44271,8190,716,1,1,0.44,36,0
38,67747,6847,495,12,2,0.51,48,0
24,57249,20838,663,0,1,0.67,36,0
45,36175,7404,679,4,5,0.43,36,0
34,28875,35539,576,7,2,0.37,36,0
29,30970,54753,554,1,0,0.21,48,1
46,56752,7785,594,1,1,0.47,36,0
22,47663,19968,635,0,0,0.01,24,1
40,92739,17396,589,14,1,0.29,60,0
48,72797,7386,694,3,0,0.04,36,0
27,72721,7411,684,0,3,0.3,48,0
64,55912,12412,680,8,0,0.47,12,0
28,30299,6747,750,4,2,0.61,48,0
55,57680,25713,701,0,3,0.01,12,0
34,50611,11525,672,2,2,0.54,60,1
37,27744,6820,552,2,0,0.31,48,0
56,89767,12665,742,0,0,0.35,24,0
60,85062,17674,751,2,2,0.48,24,0
24,27665,8650,623,1,1,0.33,48,0
22,35635,4040,585,6,0,0.24,24,0
26,37235,14412,710,0,0,0.26,48,0
62,66497,6436,504,0,0,0.22,12,1
24,62778,8297,681,12,0,0.37,48,0
49,50121,17702,769,2,2,0.54,24,0
38,56214,9388,619,0,0,0.48,48,0
46,25749,12275,669,7,1,0.36,36,0
64,59318,31946,658,9,0,0.25,36,0
54,46609,10815,733,1,0,0.4,24,1
30,34908,44926,658,6,1,0.62,36,0
56,22782,20825,622,4,1,0.21,36,1
34,49686,7640,528,6,0,0.46,12,0
51,58599,10038,657,7,1,0.41,48,0
35,20926,6262,644,5,1,0.24,24,0
28,49476,19584,487,15,0,0.39,36,0
34,52110,29575,569,9,2,0.29,36,0
43,37156,10774,602,1,1,0.22,24,1
60,59273,4372,602,12,3,0.2,24,0
41,45874,16585,647,2,1,0.24,36,0
36,56476,7964,641,6,0,0.17,36,1
38,64031,8721,644,9,1,0.64,60,0
44,64048,16105,830,2,1,0.21,48,0
46,81504,27978,614,0,0,0.58,60,1
45,58055,20820,580,14,4,0.41,12,1
61,38618,17286,775,0,1,0.09,12,0
49,35458,12156,767,2,2,0.23,12,0
35,28806,6049,563,4,0,0.4,48,1
21,52869,16461,747,0,1,0.25,48,0
45,94907,20550,502,9,1,0.38,36,0
27,40977,9348,850,1,1,0.07,36,0
29,61377,10723,792,21,3,0.36,36,0
44,33653,26004,692,12,1,0.33,60,0
21,54035,10556,718,4,3,0.64,24,0
64,92011,11357,685,5,2,0.25,48,1
28,69087,12669,597,3,2,0.46,24,1
44,22350,19917,745,2,1,0.55,24,0
31,65208,15930,758,2,4,0.51,36,0
37,66710,15238,591,11,1,0.52,36,0
28,53462,33213,647,4,2,0.34,36,0
55,68443,10449,551,8,1,0.41,24,1
55,32313,7552,646,3,1,0.26,48,0
53,50596,24667,628,1,1,0.44,48,0
25,85398,15345,750,0,2,0.19,48,0
62,81631,9381,778,1,2,0.23,24,0
59,64474,10765,564,10,0,0.66,24,0
61,31523,6220,711,6,1,0.49,60,0
48,29137,15352,720,7,1,0.12,36,0
27,51910,5558,510,7,1,0.4,36,0
29,53658,20114,727,0,5,0.2,48,0
28,46621,9764,531,0,3,0.45,24,1
32,32781,5788,609,1,3,0.41,48,0
54,60990,25805,577,1,1,0.38,36,1
53,51796,51732,524,0,4,0.25,36,1
43,56665,17368,738,0,2,0.57,36,0
44,65954,11257,574,9,0,0.25,60,0
57,42752,7509,618,4,0,0.39,24,1
55,38392,15632,649,2,1,0.32,24,0
64,85287,19575,709,3,0,0.14,24,0
60,33567,13415,572,1,1,0.3,24,0
42,38770,22862,688,4,3,0.1,36,0
47,90864,33134,631,0,1,0.44,24,0
55,37290,6274,569,11,0,0.26,12,0
21,46662,15937,731,1,0,0.3,36,0
55,39895,4264,816,8,1,0.44,36,0
57,20098,8197,666,5,1,0.26,36,0
34,46089,20576,601,3,2,0.02,24,0
23,29575,12989,591,13,2,0.4,24,0
21,55675,5082,714,0,1,0.25,48,0
25,85205,25083,651,0,1,0.3,36,0
46,16202,9643,565,1,0,0.43,60,1
34,39996,22259,514,8,1,0.2,36,1
59,61461,18171,680,0,4,0.4,36,0
47,16454,8104,548,1,3,0.36,36,0
29,95619,22501,617,2,2,0.34,24,0
35,59275,16174,780,6,2,0.31,36,1
35,84255,14839,583,1,1,0.39,36,0
46,36976,10088,734,2,5,0.45,36,1
62,39274,6893,568,2,0,0.09,36,0
33,45230,10392,719,0,1,0.47,24,0
52,142786,10257,696,6,1,0.3,36,0
59,94755,22269,689,3,1,0.09,60,0
52,52374,4967,601,8,0,0.32,36,1
24,55670,32287,700,5,0,0.2,36,1
50,67336,33368,679,0,0,0.51,24,0
57,162068,9094,801,3,0,0.13,60,0
43,59359,30975,600,23,1,0.38,48,0
59,50160,7307,752,1,0,0.38,60,0
35,41386,26272,577,3,2,0.41,24,0
63,55130,8169,630,5,3,0.45,36,1
49,36551,24836,598,1,2,0.27,36,0
56,62821,5639,610,6,0,0.18,36,0
33,23949,25583,637,5,0,0.03,12,0
52,43034,28944,765,2,1,0.37,36,0
27,70778,5531,686,1,0,0.27,36,1
42,58956,38344,748,12,1,0.53,12,0
48,38897,24614,651,0,3,0.44,48,0
22,43651,4028,752,2,1,0.56,24,1
62,82262,9956,668,7,2,0.13,24,0
26,26763,24898,586,0,3,0.21,24,1
48,26841,20616,734,13,0,0.42,36,0
48,30797,14286,768,3,0,0.55,12,0
64,48759,23313,701,3,0,0.71,48,0
64,24875,7907,716,2,2,0.41,48,0
40,78944,13744,752,10,1,0.35,36,0
50,30879,8043,628,14,2,0.48,36,0
31,54840,14485,592,2,1,0.26,36,0
48,36697,24358,679,3,1,0.23,48,0
45,47441,21352,788,1,3,0.44,60,1
59,21989,15271,674,2,1,0.46,36,1
53,80874,24192,700,0,2,0.34,36,0
21,30310,25665,655,7,2,0.22,36,1
47,28764,39276,673,17,0,0.5,60,1
33,161055,26916,607,7,2,0.15,36,0
61,64676,19808,693,3,0,0.37,48,0
23,79317,23399,720,8,0,0.41,36,0
